train/n_updates,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,time/fps,rollout/success rate,train/actor_loss,rollout/ep_len_mean,train/learning_rate,time/total timesteps
5024674,17843,1292,-12779.232625989998,45.039203125,290,0.0,248.71142001342773,7689.3,0.001,5184914
,17848,1293,-12774.130835059997,,290,0.0,,7682.12,,5185064
5027674,17899,1294,-12724.157629640002,47.378976203918455,289,0.0,248.05237823486328,7671.15,0.001,5188466
5037674,18049,1295,-12645.99991654,45.75183261871338,288,0.0,246.15291226196288,7671.15,0.001,5198466
5047674,18199,1296,-12913.13524242,45.891553398132324,286,0.0,241.69465536499024,7766.47,0.001,5208466
5057674,18350,1297,-13086.019686169999,43.299192043304444,284,0.0,239.3022673339844,7766.47,0.001,5218466
5067674,18497,1298,-13030.31322002,42.9742151298523,282,0.0,236.49727734375,7769.2,0.001,5228466
5077674,18648,1299,-12999.869583400001,44.608711460113526,280,0.0,237.13992218017577,7769.2,0.001,5238466
5087674,18795,1300,-13015.698890860001,43.0931732711792,279,0.0,233.55207272338868,7769.2,0.001,5248466
5092674,18866,1301,-12855.224785639999,42.23142037391663,278,0.0,233.5845889892578,7712.91,0.001,5252837
5095674,18921,1302,-12840.614313709999,42.19158207321167,277,0.0,233.41534848022462,7650.31,0.001,5256577
5105674,19074,1303,-12840.51975841,40.967747714996335,276,0.0,231.36237506103515,7650.31,0.001,5266577
5107674,19101,1304,-12785.332714020002,42.49744141769409,275,0.0,231.5325134277344,7564.47,0.001,5267993
5113674,19191,1305,-12675.57942305,43.51210340499878,274,0.0,229.91568322753906,7521.81,0.001,5273727
,19196,1306,-12634.353165260001,,274,0.0,,7423.76,,5273922
5114674,19212,1307,-12266.899775750002,42.423363445281986,274,0.0,229.32845666503906,7332.06,0.001,5274752
5124674,19360,1308,-12289.802380699999,40.8509822807312,272,0.0,228.92823233032226,7404.27,0.001,5284752
5126674,19394,1309,-12201.974281750001,40.85484686470032,272,0.0,228.42343374633788,7327.0,0.001,5287025
5136674,19547,1310,-12321.714880079999,41.629700674057005,270,0.0,230.10361154174805,7327.0,0.001,5297025
5140674,19608,1311,-12114.874337649999,41.03636705207825,270,0.0,229.60330078125,7264.83,0.001,5300808
5150674,19771,1312,-12707.949665949998,39.88538209342956,268,0.0,226.42679183959962,7284.37,0.001,5310754
,19782,1313,-12232.803108349997,,268,0.0,,7191.84,,5311501
5151674,19792,1314,-12177.78639661,40.50338778686523,268,0.0,226.1704807739258,7094.0,0.001,5311717
5161674,19951,1315,-12576.943471289998,38.193590404510495,266,0.0,226.09451690673828,7169.0,0.001,5321717
