train/critic_loss,train/learning_rate,time/fps,time/total timesteps,time/episodes,rollout/success rate,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean
4703.525771972656,0.001,416,4760000,476,0.0,11603674,-6570.431930664063,763471.64078302,11426,10000.0
4418.381382080078,0.001,412,4770000,477,0.0,11613674,-6649.558163085938,772448.7038595899,11574,10000.0
4425.5369541015625,0.001,407,4780000,478,0.0,11623674,-6677.5354501953125,772243.9724681,11722,10000.0
4280.899295654297,0.001,403,4790000,479,0.0,11633674,-6632.366774414062,762399.1729573901,11870,10000.0
4391.347718017578,0.001,398,4800000,480,0.0,11643674,-6501.274732421875,751841.8751585,12043,10000.0
4460.010116943359,0.001,394,4810000,481,0.0,11653674,-6526.916833984375,757882.7884066099,12190,10000.0
4676.443571777344,0.001,390,4820000,482,0.0,11663674,-6525.983752929687,758602.9584404299,12337,10000.0
4238.362174316406,0.001,386,4830000,483,0.0,11673674,-6560.0902578125,765980.0514818099,12485,10000.0
4177.351013671875,0.001,383,4840000,484,0.0,11683674,-6596.949060546875,765824.52750217,12633,10000.0
4383.006639648437,0.001,379,4850000,485,0.0,11693674,-6593.926534179687,766003.8124652499,12781,10000.0
4472.891889648437,0.001,375,4860000,486,0.0,11703674,-6550.68071875,762174.58589325,12928,10000.0
4973.1426655273435,0.001,372,4870000,487,0.0,11713674,-6494.3962626953125,762830.3267923498,13076,10000.0
5216.5450974121095,0.001,369,4880000,488,0.0,11723674,-6457.053911132813,765272.1309861498,13224,10000.0
4825.967028564453,0.001,365,4890000,489,0.0,11733674,-6448.713657226563,766229.2617026598,13372,10000.0
4461.625391601562,0.001,362,4900000,490,0.0,11743674,-6426.906306640625,764398.2923499799,13523,10000.0
4128.860386230469,0.001,359,4910000,491,0.0,11753674,-6479.62772265625,764637.56671876,13671,10000.0
4275.570650146485,0.001,355,4920000,492,0.0,11763674,-6437.981177734375,758351.5575603901,13824,10000.0
4312.373591552734,0.001,352,4930000,493,0.0,11773674,-6444.054725585937,758290.3479040499,13973,10000.0
4316.288780761719,0.001,349,4940000,494,0.0,11783674,-6421.553576171875,759317.4304676699,14121,10000.0
4471.525814453125,0.001,346,4950000,495,0.0,11793674,-6429.681700195312,758971.8882406297,14269,10000.0
4442.011150634766,0.001,343,4960000,496,0.0,11803674,-6496.696931640625,762622.4236841499,14424,10000.0
4128.369950195312,0.001,341,4970000,497,0.0,11813674,-6526.700576171875,762688.2966136299,14572,10000.0
4328.336684814453,0.001,338,4980000,498,0.0,11823674,-6515.493830078125,765215.6663745398,14720,10000.0
4280.633692626953,0.001,335,4990000,499,0.0,11833674,-6626.316078125,775197.57973048,14867,10000.0
4599.342071044922,0.001,332,5000000,500,0.0,11843674,-6589.594243164062,769819.3676776901,15020,10000.0
4326.969532470703,0.001,330,5010000,501,0.0,11853674,-6694.023536132812,777531.5084530002,15168,10000.0
4319.015125732421,0.001,327,5020000,502,0.0,11863674,-6698.55046484375,777248.4168942001,15318,10000.0
4075.0657585449217,0.001,325,5030000,503,0.0,11873674,-6733.133442382812,780244.9705049901,15466,10000.0
3986.196912109375,0.001,322,5040000,504,0.0,11883674,-6772.49271484375,781451.62000042,15614,10000.0
3827.400841552734,0.001,320,5050000,505,0.0,11893674,-6796.15354296875,781642.1356080399,15762,10000.0
4089.595505126953,0.001,318,5060000,506,0.0,11903674,-6772.558694335938,781709.25384921,15910,10000.0
4137.332872558593,0.001,315,5070000,507,0.0,11913674,-6788.926978515625,782920.15634939,16059,10000.0
4210.943761962891,0.001,313,5080000,508,0.0,11923674,-6786.337561523437,782745.60248027,16207,10000.0
4224.142767333984,0.001,311,5090000,509,0.0,11933674,-6775.260784179687,781882.7621070499,16355,10000.0
4192.027255615234,0.001,308,5100000,510,0.0,11943674,-6745.1922734375,776155.4116556698,16521,10000.0
4156.782190429688,0.001,306,5110000,511,0.0,11953674,-6756.343510742187,776293.4202300699,16670,10000.0
4183.465428222657,0.001,304,5120000,512,0.0,11963674,-6729.4404794921875,775835.2754034799,16817,10000.0
4440.617377929688,0.001,302,5130000,513,0.0,11973674,-6780.441848632812,785813.81421991,16965,10000.0
4051.6012856445313,0.001,300,5140000,514,0.0,11983674,-6812.601818359375,788311.87920757,17113,10000.0
3851.51466796875,0.001,298,5150000,515,0.0,11993674,-6816.5858046875,789784.05462422,17262,10000.0
3845.7100192871094,0.001,296,5160000,516,0.0,12003674,-6819.201572265625,790251.26805676,17410,10000.0
3870.9425830078126,0.001,294,5170000,517,0.0,12013674,-6780.449083007812,786381.87218431,17562,10000.0
4066.062870849609,0.001,292,5180000,518,0.0,12023674,-6786.044943359375,786269.04643705,17710,10000.0
